Project Name,Package Name,Type Name,Code Smell
EventBus,org.greenrobot.eventbus.indexed,EventBusAndroidOrderTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusOrderedSubscriptionsTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusMethodModifiersTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusMultithreadedTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusInheritanceTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusRegistrationRacingTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusFallbackToReflectionTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusSubscriberExceptionTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusGenericsTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusStickyEventTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusBasicTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusSubscriberInJarTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusCancelEventDeliveryTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusBackgroundThreadTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbus.indexed,EventBusNoSubscriberEventTestWithIndex,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf,TestSetupActivity,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf,Test,Multifaceted Abstraction
EventBus,org.greenrobot.eventbusperf,Test,Deficient Encapsulation
EventBus,org.greenrobot.eventbusperf,TestFinishedEvent,Deficient Encapsulation
EventBus,org.greenrobot.eventbusperf,TestEvent,Unnecessary Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,Insufficient Modularization
EventBus,org.greenrobot.eventbusperf.testsubject,Post,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterFirstTime,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,Subscriber,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusDefault,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,Insufficient Modularization
EventBus,org.greenrobot.eventbusperf.testsubject,Post,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterFirstTime,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusMain,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusMainOrdered,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,SubscribeClassEventBusBackground,Unutilized Abstraction
EventBus,org.greenrobot.eventbusperf.testsubject,SubscriberClassEventBusAsync,Unutilized Abstraction
